,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Data Scientist (India Remote),₹3L - ₹10L (Glassdoor Est.),"Token Metrics is searching for a highly capable machine learning engineer to optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI software's predictive automation capabilities.

As a machine learning engineer, you should demonstrate solid data science knowledge and experience.

A first-class machine learning engineer will be someone whose expertise translates into the enhanced performance of predictive models.
Responsibilities
Consulting with the manager to determine and refine machine learning objectives.


Show More
Report",3.4,"Token Metrics
3.4",Bangalore,-1,-1,2019,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,-1
1,Data Scientist (India Remote),₹3L - ₹10L (Glassdoor Est.),"Token Metrics is searching for a highly capable machine learning engineer to optimize our machine learning systems. You will be evaluating existing machine learning (ML) processes, performing statistical analysis to resolve data set problems, and enhancing the accuracy of our AI software's predictive automation capabilities.

As a machine learning engineer, you should demonstrate solid data science knowledge and experience.

A first-class machine learning engineer will be someone whose expertise translates into the enhanced performance of predictive models.
Responsibilities
Consulting with the manager to determine and refine machine learning objectives.


Show More
Report",3.4,"Token Metrics
3.4",Bangalore,-1,-1,2019,Company - Private,Investment & Asset Management,Finance,Unknown / Non-Applicable,-1
2,Junior Data Scientist,₹3L - ₹10L (Glassdoor Est.),"Junior Data Scientist

Purpose & Overall Relevance for the Organization:

A Data Scientist is a specialist who applies their expertise in statistics and building machine learning models to make predictions and answer key business questions. They focus on understanding, cleaning and analysing data from the past and present perspectives and producing reliable predictions for the future.

Key Responsibilities:

Analytics








Show More
Report",3.9,"Adidas
3.9",Gurgaon,-1,-1,1949,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD),-1
3,Junior Data Scientist,₹3L - ₹10L (Glassdoor Est.),"Junior Data Scientist

Purpose & Overall Relevance for the Organization:

A Data Scientist is a specialist who applies their expertise in statistics and building machine learning models to make predictions and answer key business questions. They focus on understanding, cleaning and analysing data from the past and present perspectives and producing reliable predictions for the future.

Key Responsibilities:

Analytics








Show More
Report",3.9,"Adidas
3.9",Gurgaon,-1,-1,1949,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD),-1
4,Data Scientist,₹3L - ₹10L (Glassdoor Est.),"Experience : Min 1Year
Location : Kovilambakkam
Technical Skills Required: Proficiency in Python, OOPs concept in Python with good code practice.
Job Description:
Candidate should have Degree in data science, statistics, engineering, applied mathematics, operations research, information sciences, or another biological/physical science
Write production grade code

Show More
Report",4.1,"Sage IT
4.1",India,-1,-1,2003,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD),-1
5,Data Scientist,₹3L - ₹10L (Glassdoor Est.),"Experience : Min 1Year
Location : Kovilambakkam
Technical Skills Required: Proficiency in Python, OOPs concept in Python with good code practice.
Job Description:
Candidate should have Degree in data science, statistics, engineering, applied mathematics, operations research, information sciences, or another biological/physical science
Write production grade code

Show More
Report",4.1,"Sage IT
4.1",India,-1,-1,2003,Company - Private,Information Technology Support Services,Information Technology,$25 to $50 million (USD),-1
6,Data Scientist,₹3L - ₹10L (Glassdoor Est.),"Aufgaben
DA4AD@MBRDI: Excited about driving the future of mobility autonomously, Mercedes Benz R&D India gives opportunity to data enthusiasts to discover, find patterns, analyse data, make predictions using ML/DL and communicate data with meaningful insights. We are a group of people in DA4AD team (Data Analytics for Automated Driving) who are on a mission to build artificial intelligence enabled systems for vehicles. We provide research opportunities for solving the key problems in automated/autonomous driving domain, connected vehicle, & safety critical features.
What we do as DA4AD team @MBRDI: Real-world data rarely comes clean and we have tons of real world data collected over a period of time across the globe from our Mercedes vehicles. We work in an ecosystem where massive amount of complex data being processed everyday (volume, variety, & velocity). We focus on statistical analysis to unleash different aspects of data to solve research problems of mobility business (ex: driver-less cars). The learning algorithms been trained on these real datasets which are unlike very different, sophisticated and complex from public datasets and tested for higher accuracies using different quality metrics. We builds artificial intelligence algorithms for better mobility experience using state-of-the-art machine learning algorithms & deep learning networks. Software tools & platform development for providing e2e analytical solution for mobility business.

Education: Bachelors or Masters in Computer Science, Electrical/Electronic Engineering from tier-I universities
Relevant Experience Required: 2 years to 7 years
Skill Requirements:
Essential Skills:
Key Job Responsibilities:








Show More
Report",4.0,"Mercedes-Benz Research and Development India Private Limited
4.0",Bangalore,-1,-1,1996,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),-1
7,Data Scientist,₹3L - ₹10L (Glassdoor Est.),"Aufgaben
DA4AD@MBRDI: Excited about driving the future of mobility autonomously, Mercedes Benz R&D India gives opportunity to data enthusiasts to discover, find patterns, analyse data, make predictions using ML/DL and communicate data with meaningful insights. We are a group of people in DA4AD team (Data Analytics for Automated Driving) who are on a mission to build artificial intelligence enabled systems for vehicles. We provide research opportunities for solving the key problems in automated/autonomous driving domain, connected vehicle, & safety critical features.
What we do as DA4AD team @MBRDI: Real-world data rarely comes clean and we have tons of real world data collected over a period of time across the globe from our Mercedes vehicles. We work in an ecosystem where massive amount of complex data being processed everyday (volume, variety, & velocity). We focus on statistical analysis to unleash different aspects of data to solve research problems of mobility business (ex: driver-less cars). The learning algorithms been trained on these real datasets which are unlike very different, sophisticated and complex from public datasets and tested for higher accuracies using different quality metrics. We builds artificial intelligence algorithms for better mobility experience using state-of-the-art machine learning algorithms & deep learning networks. Software tools & platform development for providing e2e analytical solution for mobility business.

Education: Bachelors or Masters in Computer Science, Electrical/Electronic Engineering from tier-I universities
Relevant Experience Required: 2 years to 7 years
Skill Requirements:
Essential Skills:
Key Job Responsibilities:








Show More
Report",4.0,"Mercedes-Benz Research and Development India Private Limited
4.0",Bangalore,-1,-1,1996,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),-1
8,Senior Data Scientist,₹3L - ₹10L (Glassdoor Est.),"In a world of disruption and increasingly complex business challenges, our professionals bring truth into focus with the Kroll Lens. Our sharp analytical skills, paired with the latest technology, allow us to give our clients clarity—not just answers—in all areas of business. We embrace diverse backgrounds and global perspectives, and we cultivate diversity by respecting, including, and valuing one another. As part of One team, One Kroll, you’ll contribute to a supportive and collaborative work environment that empowers you to excel.


At Kroll, your work will help deliver clarity to our clients’ most complex governance, risk, and transparency challenges. Apply now to join One team, One Kroll.








































































Show More
Report",3.8,"Kroll
3.8",Hyderābād,-1,-1,1932,Company - Private,Financial Transaction Processing,Finance,$2 to $5 billion (USD),-1
9,Data Scientist,₹3L - ₹10L (Glassdoor Est.),"1. Undertake to preprocess of structured and unstructured data.
2. Build predictive models and machine – learning algorithms.
3. Combine models through ensemble modelling.
4. Propose solutions and strategies to business challenges.
5. Collaborate with engineering and product development teams.
6. Present information using data visualization techniques.
7. Identify valuable data sources and automate collection processes.
8. Analyze large amounts of information to discover trends and patterns.
Show More
Report",-1,Radome Technologies & Services Pvt Ltd,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1
