,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,employer_provided,min_salary,max_salary,avg_salary,company_txt,age,python_yn,SQL_yn,R_yn,excel_yn,aws_yn,job_simp_col,seniority,desc_len
0,DATA SCIENTIST,₹3L - ₹7L (Glassdoor Est.),"The required skills are :
Post graduate degree in Statistics, Math or any other with strong analytical background .
Must have exposure to Big Data analytics..
Need Strong mathematical background (calculus, linearalgebra, probability and statistics).
Applied Machine Learning experience (regression and classification, supervised, and unsupervised learning) is a plus.
Must be a quick learner and capable to solve complex problems in multiple domains.
Skill Set : Language - C#,C++, Python or R, Scripting - Java script Position Type : Permanent Qualification : Any postgraduate degree with analytics Experience : 0 - 4 Yrs Salary Package :Best in Industry Calicut, Kerala, India Technical Interview & HR interview

Show More
Report",3.4,"Tech27 Systems Ltd.
3.4",Calicut,-1,-1,-1,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,0,3.0,7.0,5.0,Tech27 Systems Ltd.,-1,1,0,0,0,0,data scientist,na,731
1,Data Scientist,Employer Provided Salary:₹0.25L - ₹0.35L,"1. Undertake to preprocess of structured and unstructured data.
2. Build predictive models and machine – learning algorithms.
3. Combine models through ensemble modelling.
4. Propose solutions and strategies to business challenges.
5. Collaborate with engineering and product development teams.
6. Present information using data visualization techniques.
7. Identify valuable data sources and automate collection processes.
8. Analyze large amounts of information to discover trends and patterns.
Show More
Report",-1.0,Radome Technologies & Services Pvt Ltd,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1,1,0.25,0.35,0.3,Radome Technologies & Services Pvt Ltd,-1,0,0,0,0,0,data scientist,na,513
2,Data Scientist 4,₹7L - ₹8L (Glassdoor Est.),"#Li-Post
HP is the world’s leading personal systems and printing company, we create technology that makes life better for everyone, everywhere. Our innovation springs from a team of individuals, each collaborating and contributing their own perspectives, knowledge, and experience to advance the way the world works and lives.
We are looking for visionaries, like you, who are ready to make a purposeful impact on the way the world works.
Responsibilities:
Build machine learning systems.




Show More
Report",4.2,"HP
4.2",Bangalore,-1,-1,1939,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,-1,0,7.0,8.0,7.5,HP,84,0,0,0,0,0,data scientist,na,509
3,Data Scientist,Employer Provided Salary:₹6L - ₹15L,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes


Show More
Report",-1.0,weholds and care holding pvt ltd,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1,1,6.0,15.0,10.5,weholds and care holding pvt ltd,-1,0,0,0,0,0,data scientist,na,635
4,Data Scientist,Employer Provided Salary:₹6L - ₹15L,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights.
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.
Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes


Show More
Report",-1.0,weholds and care holding pvt ltd,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1,1,6.0,15.0,10.5,weholds and care holding pvt ltd,-1,0,0,0,0,0,data scientist,na,635
5,Assistant Data Scientist,Employer Provided Salary:₹10L,"Job Responsibilities:
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data.
Analyze large amounts of information to discover trends and patterns
Helping develop reports and analysis.
Present information using data visualization techniques.
Assessing tests and implementing new or upgraded software and assisting with strategic decisions on new systems.
Evaluating changes and updates to source production systems.
Show More
Report",-1.0,Ascendeum,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1,1,10.0,10.0,10.0,Ascendeum,-1,0,0,0,0,0,data scientist,na,502
6,Data Scientist,Employer Provided Salary:₹0.80L,"JD for Data Scientist Responsibilities & Skills · PhD in Statistics, Math or Computer Science is preferred. Must have at least a Master degree with 5+ years of experience. · Excellent statistical analysis skills to identify patterns in data. This includes having a keen sense of pattern detection and anomaly detection. · Excellent understanding of machine learning techniques and algorithms, such as k-NN, · Naive Bayes, SVM, Decision Forests, etc. · Must be able to implement algorithms and statistical concepts to build predictive models. · In-depth experience with common data science tools such as TensorFlow, PyTorch or equivalent. · Proficient in programming with python, SQL and No-SQL databases; and data science libraries such as nltk, numpy, scipy and many others · Communicate with global English speaking teams. · Expertise in collaborating with multi-disciplinary teams of business analysts, data scientists, subject matter experts, and developers For more information Contact HR Ranjini 7760520330

Show More
Report",-1.0,Trovech Infotech Pvt Ltd,Bangalore,-1,-1,-1,-1,-1,-1,-1,-1,1,0.8,0.8,0.8,Trovech Infotech Pvt Ltd,-1,1,0,0,1,0,data scientist,na,1030
7,Data scientist,₹6L - ₹9L (Glassdoor Est.),"Proven experience as a Data Scientist or Data Analyst
Experience in data mining
Understandi
Analytical mind and business acumen
Strong math skills (e.g. statistics, algebra)
Problem-solving aptitude
Excellent communication and presentation skills
BSc/BA in ng of machine learning and operations research
Knowledge of R, SQL and Python;
Experience using business intelligence tools
graduate degree in Data Science or other quantitative field is preferred.

Organization: Portfolio Companies
Show More
Report",4.1,"Siemens
4.1",Bangalore,-1,-1,1847,Company - Public,Electronics Manufacturing,Manufacturing,$10+ billion (USD),-1,0,6.0,9.0,7.5,Siemens,176,1,0,0,1,0,data scientist,na,506
8,Data Scientist,₹8L - ₹9L (Glassdoor Est.),"Aufgaben
DA4AD@MBRDI: Excited about driving the future of mobility autonomously, Mercedes Benz R&D India gives opportunity to data enthusiasts to discover, find patterns, analyse data, make predictions using ML/DL and communicate data with meaningful insights. We are a group of people in DA4AD team (Data Analytics for Automated Driving) who are on a mission to build artificial intelligence enabled systems for vehicles. We provide research opportunities for solving the key problems in automated/autonomous driving domain, connected vehicle, & safety critical features.
What we do as DA4AD team @MBRDI: Real-world data rarely comes clean and we have tons of real world data collected over a period of time across the globe from our Mercedes vehicles. We work in an ecosystem where massive amount of complex data being processed everyday (volume, variety, & velocity). We focus on statistical analysis to unleash different aspects of data to solve research problems of mobility business (ex: driver-less cars). The learning algorithms been trained on these real datasets which are unlike very different, sophisticated and complex from public datasets and tested for higher accuracies using different quality metrics. We builds artificial intelligence algorithms for better mobility experience using state-of-the-art machine learning algorithms & deep learning networks. Software tools & platform development for providing e2e analytical solution for mobility business.

Education: Bachelors or Masters in Computer Science, Electrical/Electronic Engineering from tier-I universities
Relevant Experience Required: 2 years to 7 years
Skill Requirements:
Essential Skills:
Key Job Responsibilities:








Show More
Report",4.0,"Mercedes-Benz Research and Development India Private Limited
4.0",Bangalore,-1,-1,1996,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD),-1,0,8.0,9.0,8.5,Mercedes-Benz Research and Development India Private Limited,27,0,0,0,0,0,data scientist,na,1721
9,Senior Data Scientist,Employer Provided Salary:₹0.31L - ₹2L,"We are Hiring for a Data Scientist Developer..
Goodtechmind has an exciting opportunity for a Data Scientist Developer, to be a part of our growing Team.
As a service based technology firm that created the virtual employee model successful amongst 40+ clients all across the globe: we’ve made it our business to make a mark. When joining our team at Goodtechmind you are empowered to suggest, take ownership and learn to perform at your best. We value the skills, ideas, and perspective you bring to the team.
Hiring for Data Scientist Developer at Kolkata (Work from Home)
Position : Data Scientist Developer


Show More
Report",-1.0,Goodtech Mind,Calcutta,-1,-1,-1,-1,-1,-1,-1,-1,1,0.31,2.0,1.155,Goodtech Mind,-1,0,0,0,0,0,data scientist,senior,628
